biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1153,ZH,Zurich,S,RL,Groupe libéral-radical,Ruedi,Membre,www.ruedinoser.ch,1153,Noser,2619,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2619.jpg,2018-02-21T09:28:53Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=172,SG,St-Gall,S,S,Groupe socialiste,Paul,Membre,www.paulrechsteiner.ch,172,Rechsteiner,2143,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2143.jpg,2015-05-17T21:18:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4204,VS,Valais,S,C,Groupe PDC,Beat,Membre,www.beat-rieder.ch,4204,Rieder,3105,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3105.jpg,2015-11-27T14:24:59Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1148,VD,Vaud,S,S,Groupe socialiste,Géraldine,Membre,,1148,Savary,2629,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2629.jpg,2015-12-08T17:56:16Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4078,GR,Grisons,S,RL,Groupe libéral-radical,Martin,Membre,www.kunzschmid.ch,4078,Schmid,2783,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2783.jpg,2015-11-17T15:48:04Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3920,JU,Jura,S,C,Groupe PDC,Anne,Membre,,3920,Seydoux-Christe,2723,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2723.jpg,2016-02-01T11:32:54Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1267,BE,Berne,S,S,Groupe socialiste,Hans,Membre,www.hansstoeckli.ch,1267,Stöckli,2647,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2647.jpg,2016-11-09T13:04:48Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4205,FR,Fribourg,S,C,Groupe PDC,Beat,Membre,www.beat-vonlanthen.ch,4205,Vonlanthen,3106,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3106.jpg,2018-04-17T11:38:07Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4152,NW,Nidwald,S,RL,Groupe libéral-radical,Hans,Membre,www.wickihans.ch,4152,Wicki,3054,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3054.jpg,2017-07-27T10:40:46Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4237,SG,St-Gall,S,C,Groupe PDC,Benedikt,Membre,,4237,Würth,3136,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3136.jpg,2019-06-12T08:57:05Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=525,SO,Soleure,S,S,Groupe socialiste,Roberto,Membre,www.robertozanetti.ch,525,Zanetti,2546,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2546.jpg,2017-11-28T09:38:31Z
