biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4054,LU,Lucerne,N,RL,Groupe libéral-radical,Albert,Membre,www.albert-vitali.ch,4054,Vitali,2761,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2761.jpg,2016-06-13T11:01:16Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4085,OW,Obwald,N,C,Groupe PDC,Karl,Membre,www.karlvogler.ch,4085,Vogler,2787,csp-ow,Christlich-soziale Partei Obwalden,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2787.jpg,2015-11-18T15:35:00Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4176,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Hans-Ueli,Membre,www.hansuelivogt.ch,4176,Vogt,3098,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3098.jpg,2016-02-01T11:16:24Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3910,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Erich,Membre,www.erichv7thal.ch,3910,von Siebenthal,2713,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2713.jpg,2018-01-11T11:40:31Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4177,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Bruno,Membre,www.brunowalliser.ch,4177,Walliser,3099,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3099.jpg,2019-06-18T13:51:18Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4142,ZH,Zurich,N,RL,Groupe libéral-radical,Beat,Président(e),www.beatwalti.ch,4142,Walti,3044,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3044.jpg,2015-11-17T15:03:14Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3912,BE,Berne,N,RL,Groupe libéral-radical,Christian,Membre,www.wasserfallen.news,3912,Wasserfallen,2715,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2715.jpg,2016-08-15T09:12:20Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4224,BE,Berne,N,S,Groupe socialiste,Flavia,Membre,www.flaviawasserfallen.ch,4224,Wasserfallen,3125,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3125.jpg,2018-05-24T10:23:30Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4194,VD,Vaud,N,RL,Groupe libéral-radical,Laurent,Membre,www.laurentwehrli.com,4194,Wehrli,3100,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3100.jpg,2018-07-04T11:05:20Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3931,ZH,Zurich,N,GL,Groupe vert'libéral,Thomas,Membre,www.glpweibel.ch,3931,Weibel,2728,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2728.jpg,2016-04-05T11:11:10Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4057,AG,Argovie,N,S,Groupe socialiste,Cédric,Membre,www.cedricwermuth.ch,4057,Wermuth,2759,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2759.jpg,2019-01-11T08:30:34Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1142,SO,Soleure,N,V,Groupe de l'Union démocratique du Centre,Walter,Membre,www.walter-wobmann.ch,1142,Wobmann,2638,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2638.jpg,2018-01-10T16:53:57Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4226,BE,Berne,N,S,Groupe socialiste,Adrian,Membre,www.adrianwuethrich.ch,4226,Wüthrich,3127,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3127.jpg,2018-05-24T10:57:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4178,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Claudio,Membre,www.zanetti.ch,4178,Zanetti,3101,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3101.jpg,2015-10-29T17:31:42Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4179,AR,Appenzell Rh.-Ext.,N,V,Groupe de l'Union démocratique du Centre,David,Membre,www.david-zuberbuehler.ch,4179,Zuberbühler,3102,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3102.jpg,2018-12-19T17:04:15Z
